"pair.no" "ind1.id" "ind2.id" "group" "trioml" "wang" "lynchli" "lynchrd" "ritland" "quellergt" "dyadml"
"1" 1 "1411" "1413" "1414" 0 0.3806 0.3781 0.2842 0.4281 0.394 0
"2" 2 "1411" "913" "1491" 0 -0.0729 -0.0845 -0.013 -0.0212 -0.0401 0
"3" 3 "1411" "919" "1491" 0 -0.0473 -0.0627 0.014 0.0201 -0.0258 0
"4" 4 "1411" "915" "1491" 0 -0.055 -0.0659 -0.0049 -0.0071 -0.0244 0
"5" 5 "1411" "916" "1491" 0 -0.0192 -0.0213 0.0125 0.0228 0.0142 0
"6" 6 "1411" "920" "1492" 0 -0.0627 -0.0712 -0.0067 -0.0025 -0.0138 0
"7" 7 "1411" "921" "1492" 0 -0.0404 -0.0531 -0.0096 -0.0113 -0.0122 0
"8" 8 "1411" "922" "1492" 0 -0.0253 -0.0292 -0.016 -0.0228 -0.0293 0
"9" 9 "1411" "923" "1492" 0 -3e-04 -0.0096 -0.008 -0.0084 -0.0042 0
"10" 10 "1411" "922" "1492" 0 -0.0253 -0.0292 -0.016 -0.0228 -0.0293 0
"11" 11 "1411" "925" "1492" 0 -0.0467 -0.043 -0.0232 -0.0294 -0.0244 0
"12" 12 "1411" "923" "1492" 0 -3e-04 -0.0096 -0.008 -0.0084 -0.0042 0
"13" 13 "1411" "925" "1492" 0 -0.0467 -0.043 -0.0232 -0.0294 -0.0244 0
"14" 14 "1411" "987" "1498" 0 -0.0759 -0.0882 -0.0021 -0.0041 -0.0251 0
"15" 15 "1411" "988" "1498" 0 -0.1007 -0.1084 -0.0184 -0.0253 -0.0493 0
"16" 16 "1411" "982" "1498" 0 -0.087 -0.0956 -0.0113 -0.0192 -0.0414 0
"17" 17 "1411" "983" "1498" 0 -0.0977 -0.111 -0.0189 -0.0311 -0.0563 0
"18" 18 "1411" "468" "1446" 0 -0.0929 -0.1009 -0.0422 -0.0498 -0.0434 0
"19" 19 "1411" "471" "1447" 0 -0.0969 -0.0983 -0.02 -0.0237 -0.0316 0
"20" 20 "1411" "468" "1446" 0 -0.0929 -0.1009 -0.0422 -0.0498 -0.0434 0
"21" 21 "1411" "984" "1498" 0 -0.0746 -0.0823 -0.0047 -0.01 -0.0291 0
"22" 22 "1411" "473" "1447" 0 -0.0632 -0.0696 -0.0173 -0.0247 -0.0399 0
"23" 23 "1411" "1089" "1410" 0 -0.0709 -0.0786 -0.0223 -0.0307 -0.0351 0
"24" 24 "1411" "466" "1446" 0 -0.0634 -0.0733 -0.0286 -0.0299 -0.0545 0
"25" 25 "1411" "1088" "1410" 0 -0.0628 -0.068 -0.0413 -0.0433 -0.0624 0
"26" 26 "1411" "1085" "1410" 0 -0.0874 -0.0967 -0.0351 -0.0566 -0.0815 0
"27" 27 "1411" "1088" "1410" 0 -0.0628 -0.068 -0.0413 -0.0433 -0.0624 0
"28" 28 "1411" "465" "1446" 0 -0.0778 -0.077 -0.02 -0.028 -0.044 0
"29" 29 "1411" "1085" "1410" 0 -0.0874 -0.0967 -0.0351 -0.0566 -0.0815 0
"30" 30 "1411" "477" "1447" 0 -0.0758 -0.0717 -0.0516 -0.0754 -0.0928 0
"31" 31 "1411" "1093" "1410" 0 -0.079 -0.0781 -0.1046 -0.0887 -0.101 0
"32" 32 "1411" "457" "1445" 0 -0.0741 -0.0776 -0.0502 -0.0737 -0.0926 0
"33" 33 "1411" "1093" "1410" 0 -0.079 -0.0781 -0.1046 -0.0887 -0.101 0
"34" 34 "1411" "1084" "1410" 0 -0.0391 -0.042 -0.0638 -0.0596 -0.0577 0
"35" 35 "1411" "1093" "1410" 0 -0.079 -0.0781 -0.1046 -0.0887 -0.101 0
"36" 36 "1411" "477" "1447" 0 -0.0758 -0.0717 -0.0516 -0.0754 -0.0928 0
"37" 37 "1411" "1084" "1410" 0 -0.0391 -0.042 -0.0638 -0.0596 -0.0577 0
"38" 38 "1411" "457" "1445" 0 -0.0741 -0.0776 -0.0502 -0.0737 -0.0926 0
"39" 39 "1411" "477" "1447" 0 -0.0758 -0.0717 -0.0516 -0.0754 -0.0928 0
"40" 40 "1411" "457" "1445" 0 -0.0741 -0.0776 -0.0502 -0.0737 -0.0926 0
"41" 41 "1411" "1084" "1410" 0 -0.0391 -0.042 -0.0638 -0.0596 -0.0577 0
"42" 42 "1411" "451" "1445" 0 -0.0752 -0.0882 -0.0193 -0.0338 -0.0442 0
"43" 43 "1411" "464" "1446" 0 -0.0973 -0.1025 -0.0225 -0.0395 -0.0686 0
"44" 44 "1411" "472" "1447" 0 -0.0788 -0.0861 -0.0225 -0.0344 -0.0415 0
"45" 45 "1411" "1091" "1410" 0 -0.0662 -0.0723 -0.0202 -0.0295 -0.0304 0
"46" 46 "1411" "448" "1444" 0 -0.0988 -0.1025 -0.0316 -0.0395 -0.0643 0
"47" 47 "1411" "461" "1446" 0 -0.0795 -0.0903 -0.0224 -0.0279 -0.0475 0
"48" 48 "1413" "913" "1491" 0 -0.0718 -0.0776 -0.0095 -0.0115 -0.0149 0
"49" 49 "1413" "919" "1491" 0 -0.0796 -0.0877 0.0087 0.0086 -0.0214 0
"50" 50 "1413" "915" "1491" 0 -0.0958 -0.1073 -0.0175 -0.0265 -0.0378 0
"51" 51 "1413" "916" "1491" 0 -0.0687 -0.0839 -0.0042 -0.0151 -0.0246 0
"52" 52 "1413" "920" "1492" 0 -0.069 -0.0813 0.0013 -0.0027 -0.0231 0
"53" 53 "1413" "921" "1492" 0 -0.0645 -0.0739 -0.0061 -0.0143 -0.0271 0
"54" 54 "1413" "922" "1492" 0 -0.0663 -0.0712 -0.0232 -0.0405 -0.0581 0
"55" 55 "1413" "923" "1492" 0 -0.0867 -0.0914 -0.0509 -0.055 -0.0678 0
"56" 56 "1413" "922" "1492" 0 -0.0663 -0.0712 -0.0232 -0.0405 -0.0581 0
"57" 57 "1413" "925" "1492" 0 -0.0918 -0.0919 -0.0299 -0.0484 -0.058 0
"58" 58 "1413" "923" "1492" 0 -0.0867 -0.0914 -0.0509 -0.055 -0.0678 0
"59" 59 "1413" "925" "1492" 0 -0.0918 -0.0919 -0.0299 -0.0484 -0.058 0
"60" 60 "1413" "987" "1498" 0 -0.1027 -0.119 -0.0103 -0.0203 -0.0401 0
"61" 61 "1413" "988" "1498" 0 -0.1122 -0.1206 0.0131 0.0215 -0.0248 0
"62" 62 "1413" "982" "1498" 0 -0.0812 -0.1041 -0.0021 -0.0108 -0.0283 0
"63" 63 "1413" "983" "1498" 0 -0.1128 -0.1333 -0.016 -0.0356 -0.0548 0
"64" 64 "1413" "468" "1446" 0 -0.0996 -0.1094 -0.0252 -0.0263 -0.0415 0
"65" 65 "1413" "471" "1447" 0 -0.1072 -0.1206 -0.0146 -0.0204 -0.0359 0
"66" 66 "1413" "468" "1446" 0 -0.0996 -0.1094 -0.0252 -0.0263 -0.0415 0
"67" 67 "1413" "984" "1498" 0 -0.086 -0.1004 0.011 0.0272 -0.0268 0
"68" 68 "1413" "473" "1447" 0 -0.0705 -0.0797 -0.0124 -0.0206 -0.0372 0
"69" 69 "1413" "1089" "1410" 0 -0.1011 -0.1057 -0.0181 -0.0249 -0.0418 0
"70" 70 "1413" "466" "1446" 0 -0.0934 -0.1015 -0.0269 -0.0435 -0.0592 0
"71" 71 "1413" "1088" "1410" 0 -0.0787 -0.0866 -0.0345 -0.0469 -0.0615 0
"72" 72 "1413" "1085" "1410" 0 -0.1027 -0.1073 -0.0236 -0.0397 -0.067 0
"73" 73 "1413" "1088" "1410" 0 -0.0787 -0.0866 -0.0345 -0.0469 -0.0615 0
"74" 74 "1413" "465" "1446" 0 -0.1112 -0.1206 -0.0239 -0.0503 -0.068 0
"75" 75 "1413" "1085" "1410" 0 -0.1027 -0.1073 -0.0236 -0.0397 -0.067 0
"76" 76 "1413" "477" "1447" 0 -0.1144 -0.1116 -0.0589 -0.0995 -0.1111 0
"77" 77 "1413" "1093" "1410" 0 -0.1451 -0.1355 -0.1339 -0.1212 -0.1381 0
"78" 78 "1413" "457" "1445" 0 -0.1048 -0.1062 -0.0499 -0.087 -0.1013 0
"79" 79 "1413" "1093" "1410" 0 -0.1451 -0.1355 -0.1339 -0.1212 -0.1381 0
"80" 80 "1413" "1084" "1410" 0 -0.1005 -0.102 -0.0888 -0.082 -0.0947 0
"81" 81 "1413" "1093" "1410" 0 -0.1451 -0.1355 -0.1339 -0.1212 -0.1381 0
"82" 82 "1413" "477" "1447" 0 -0.1144 -0.1116 -0.0589 -0.0995 -0.1111 0
"83" 83 "1413" "1084" "1410" 0 -0.1005 -0.102 -0.0888 -0.082 -0.0947 0
"84" 84 "1413" "457" "1445" 0 -0.1048 -0.1062 -0.0499 -0.087 -0.1013 0
"85" 85 "1413" "477" "1447" 0 -0.1144 -0.1116 -0.0589 -0.0995 -0.1111 0
"86" 86 "1413" "457" "1445" 0 -0.1048 -0.1062 -0.0499 -0.087 -0.1013 0
"87" 87 "1413" "1084" "1410" 0 -0.1005 -0.102 -0.0888 -0.082 -0.0947 0
"88" 88 "1413" "451" "1445" 0 -0.0957 -0.1094 -0.0181 -0.0322 -0.0513 0
"89" 89 "1413" "464" "1446" 0 -0.1289 -0.1418 -0.0304 -0.06 -0.0836 0
"90" 90 "1413" "472" "1447" 0 -0.0965 -0.1036 -0.0163 -0.0284 -0.0434 0
"91" 91 "1413" "1091" "1410" 0 -0.1044 -0.1126 -0.0227 -0.0399 -0.0511 0
"92" 92 "1413" "448" "1444" 0 -0.1088 -0.1201 -0.0226 -0.0294 -0.0594 0
"93" 93 "1413" "461" "1446" 0 -0.1248 -0.1307 -0.0361 -0.05 -0.0692 0
"94" 94 "913" "919" "9191" 0 0.1756 0.1699 0.1705 0.2516 0.2061 0
"95" 95 "913" "915" "9191" 0 -0.0478 -0.0484 0.0178 0.039 0.016 0
"96" 96 "913" "916" "9191" 0 -0.0331 -0.0314 0.0238 0.0479 0.0212 0
"97" 97 "913" "920" "9192" 0 -0.0457 -0.0515 0.0144 0.0162 0.0078 0
"98" 98 "913" "921" "9192" 0 0.0021 -0.0117 0.0293 0.0383 0.0346 0
"99" 99 "913" "922" "9192" 0 -0.0544 -0.0638 -0.0256 -0.0464 -0.0522 0
"100" 100 "913" "923" "9192" 0 -0.0263 -0.0282 -0.0141 -0.0122 -0.0054 0
"101" 101 "913" "922" "9192" 0 -0.0544 -0.0638 -0.0256 -0.0464 -0.0522 0
"102" 102 "913" "925" "9192" 0 -0.0598 -0.0585 -0.0233 -0.0401 -0.0348 0
"103" 103 "913" "923" "9192" 0 -0.0263 -0.0282 -0.0141 -0.0122 -0.0054 0
"104" 104 "913" "925" "9192" 0 -0.0598 -0.0585 -0.0233 -0.0401 -0.0348 0
"105" 105 "913" "987" "9198" 0 -0.1197 -0.1296 -0.0191 -0.0352 -0.0518 0
"106" 106 "913" "988" "9198" 0 -0.1191 -0.1243 -0.0197 -0.0277 -0.0408 0
"107" 107 "913" "982" "9198" 0 -0.1313 -0.1445 -0.0212 -0.0488 -0.0762 0
"108" 108 "913" "983" "9198" 0 -0.12 -0.1376 -0.0154 -0.0365 -0.072 0
"109" 109 "913" "468" "9146" 0 -0.113 -0.1153 -0.0371 -0.0453 -0.0652 0
"110" 110 "913" "471" "9147" 0 -0.1431 -0.1525 -0.0359 -0.0588 -0.0814 0
"111" 111 "913" "468" "9146" 0 -0.113 -0.1153 -0.0371 -0.0453 -0.0652 0
"112" 112 "913" "984" "9198" 0 -0.0943 -0.1047 -0.0124 -0.0198 -0.046 0
"113" 113 "913" "473" "9147" 0 -0.0724 -0.0781 -0.0156 -0.0255 -0.0343 0
"114" 114 "913" "1089" "9110" 0 -0.091 -0.0946 -0.019 -0.0306 -0.0429 0
"115" 115 "913" "466" "9146" 0 -0.0873 -0.0829 -0.0407 -0.0535 -0.0535 0
"116" 116 "913" "1088" "9110" 0 -0.0895 -0.0935 -0.0492 -0.0608 -0.0685 0
"117" 117 "913" "1085" "9110" 0 -0.0472 -0.0425 -0.0167 -0.0235 -0.0232 0
"118" 118 "913" "1088" "9110" 0 -0.0895 -0.0935 -0.0492 -0.0608 -0.0685 0
"119" 119 "913" "465" "9146" 0 -0.1026 -0.0993 -0.0241 -0.0436 -0.0478 0
"120" 120 "913" "1085" "9110" 0 -0.0472 -0.0425 -0.0167 -0.0235 -0.0232 0
"121" 121 "913" "477" "9147" 0 -0.087 -0.0813 -0.0493 -0.0719 -0.1002 0
"122" 122 "913" "1093" "9110" 0 -0.1057 -0.0924 -0.1099 -0.0886 -0.105 0
"123" 123 "913" "457" "9145" 0 -0.1025 -0.094 -0.0524 -0.0803 -0.0984 0
"124" 124 "913" "1093" "9110" 0 -0.1057 -0.0924 -0.1099 -0.0886 -0.105 0
"125" 125 "913" "1084" "9110" 0 -0.0909 -0.0845 -0.0874 -0.0749 -0.0926 0
"126" 126 "913" "1093" "9110" 0 -0.1057 -0.0924 -0.1099 -0.0886 -0.105 0
"127" 127 "913" "477" "9147" 0 -0.087 -0.0813 -0.0493 -0.0719 -0.1002 0
"128" 128 "913" "1084" "9110" 0 -0.0909 -0.0845 -0.0874 -0.0749 -0.0926 0
"129" 129 "913" "457" "9145" 0 -0.1025 -0.094 -0.0524 -0.0803 -0.0984 0
"130" 130 "913" "477" "9147" 0 -0.087 -0.0813 -0.0493 -0.0719 -0.1002 0
"131" 131 "913" "457" "9145" 0 -0.1025 -0.094 -0.0524 -0.0803 -0.0984 0
"132" 132 "913" "1084" "9110" 0 -0.0909 -0.0845 -0.0874 -0.0749 -0.0926 0
"133" 133 "913" "451" "9145" 0 -0.0698 -0.0728 -0.0099 -0.0147 -0.0272 0
"134" 134 "913" "464" "9146" 0 -0.066 -0.068 -0.0031 -0.005 -0.0263 0
"135" 135 "913" "472" "9147" 0 -0.0659 -0.0797 -0.0112 -0.0341 -0.0322 0
"136" 136 "913" "1091" "9110" 0 -0.0812 -0.0765 -0.0124 -0.0191 -0.0274 0
"137" 137 "913" "448" "9144" 0 -0.0765 -0.085 -0.0185 -0.023 -0.0394 0
"138" 138 "913" "461" "9146" 0 -0.0961 -0.1004 -0.0354 -0.0471 -0.052 0
"139" 139 "919" "915" "9191" 0 -0.032 -0.0404 0.0276 0.0448 0.0211 0
"140" 140 "919" "916" "9191" 0 -0.0338 -0.0287 0.0188 0.0359 0.0227 0
